,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,bus_id
all,bubble tea 4,milk tea 4,visit canada 2,must try 2,save every time 1,ready sealed workers occupied forgot 1,recommend stop 1,recommend stop coco 1,recommend stop coco go 1,recommend stop coco go wem 1,rewards system 1,rewards system convenient 1,rewards system convenient love 1,rewards system convenient love could 1,save every 1,save every time visit 1,ready sealed workers 1,save every time visit canada 1,saw everything 1,saw everything correctly 1,saw everything correctly work 1,WrR6yPcE2Pf-zFR5W9vPxg
all,definitely new 1,size generous price reasonable 1,place first time 1,place first time yesterday 1,place first time yesterday definitely 1,portion size 1,portion size generous 1,portion size generous price 1,portion size generous price reasonable 1,price reasonable 1,size generous 1,size generous price 1,time yesterday 1,definitely new go 1,time yesterday definitely 1,time yesterday definitely new 1,time yesterday definitely new go 1,tried place 1,tried place first 1,tried place first time 1,tried place first time yesterday 1,ypp08ewHqQ-zmdTnG8qOAw
all,across london 1,rare find 1,place always get 1,place always get vietnamese 1,place always get vietnamese noodles 1,place shown 1,place treat 1,place treat week 1,place treat week clean 1,place treat week clean restaurant 1,place yeg 1,place yeg say 1,place yeg say lightly 1,place yeg say lightly sample 1,plaza ordered 1,plaza ordered bun 1,plaza ordered bun bo 1,plaza ordered bun bo hue 1,quality freshness 1,quality freshness everything 1,quality freshness everything serve 1,QMaXUlBsA0SLiYZOzDAjVQ
all,dr havinga 3,feel like 3,dr heather 3,lots love 2,sully passed 2,dental work 2,dr martin 2,put ease 2,spartacus jones 2,highly recommend 2,dental surgery 2,vet office 2,dr lee 2,bedside manner 2,say enough 2,dr heather lam 2,goes beyond 2,destroy kidneys 2,unnecessary procedures 2,vet dr 2,would destroy kidneys 2,sU0eYd56_QArBBBlULxQaQ
all,tasty tom 7,homemade ketchup 3,pan fries 3,tasty tom makes 2,good breakfast 2,second best 2,burgers sliced 2,best breakfast 2,coming back 2,home cooked 2,home cooked meal 2,delicious homemade 2,two eggs 2,much better 2,home fries 2,well seasoned 2,first time 2,tom makes 2,made ketchup 2,whyte ave 2,fish chips 2,7kko-9WTh53VZ_PmrffrSQ
all,also spotlight 1,requested customers also spotlight 1,products requested customers also spotlight 1,provide live 1,provide live area 1,provide live area get 1,provide live area get often 1,quality produce 1,randomly tagged 1,randomly tagged contest 1,randomly tagged contest running 1,randomly tagged contest running found 1,requested customers 1,requested customers also 1,requested customers also spotlight staff 1,service provide live 1,running found 1,running found typical 1,running found typical grocery 1,running found typical grocery store 1,running things 1,1nmZ8Aw360LPWRbYowp9cw
all,ave location 2,bread machine 2,cobs th 2,thanks cobs 2,loves stopping 1,loves stopping getting 1,mediterranean pastry nice dinner rolls 1,mediterranean pastry nice dinner 1,mediterranean pastry nice 1,mediterranean pastry 1,making science definitely recommend ave 1,making science definitely recommend 1,making science definitely 1,making science 1,makes sure delicious bread helps 1,makes sure delicious bread 1,makes sure delicious 1,makes sure 1,machine loyal customer wayne kaiser 1,machine loyal customer wayne 1,mom loves 1,g3O9Y1jknYOvV7zwgIr54g
all,last minute 3,esm cakes 2,pick cake 2,birthday cakes 2,small store 2,owner extremely 1,owner extremely friendly 1,owner extremely friendly accommodating 1,owner extremely friendly accommodating cant 1,owner went far beyond delivering 1,owner told 1,owner told fact 1,owner told fact closed 1,owner told fact closed till 1,owner brothers put care products 1,owner went 1,owner went far 1,owner brothers put care 1,owner went far beyond 1,accommodate request 1,owners respectful 1,lYvKFVlsglqffrrhVUvZrQ
all,chicken mendi 3,middle eastern 2,mendi good 2,plenty food 2,lentil soup 2,kabsa first 2,kabsa first time 2,recommend restaurant 2,first time 2,absolutely delicious 1,plus order party feast disappointed 1,plus order party feast 1,plus order party 1,plus order 1,plenty food us rice really 1,plenty food two meals came 1,plenty food us rice 1,plenty food us 1,portion sizes inexpensive 1,plenty food two meals 1,plenty food two 1,3gTZAOmML02T1L5gYIHYqQ
all,chinese food 5,food ever 2,best chinese food long time 2,best chinese food 2,best chinese 2,chinese food long 2,chinese food ever 2,chinese food long time 2,long time 2,food long 2,food long time 2,best chinese food long 2,chicken balls 2,king garden 2,order chinese 1,order chinese read 1,order chinese read reviews 1,online really quick call back 1,order chinese read reviews happened 1,online really quick call 1,order food 1,dhKHcuHvwgB5qAAYencsFw
all,trendy breakfast 2,pie french 2,apple pie french 2,apple pie french toast 2,still lots 2,pie french toast 2,apple pie 2,close together 2,french toast 2,prefer something else 1,prefer something 1,pretty packed left monday 1,prefer something else brunch 1,prefer something else brunch selections 1,pretty packed 1,pretty packed left 1,plan go back try 1,accommodating allergies 1,price breakfasts give 1,pretty packed left monday menu 1,price breakfasts 1,zOzEoK5JvJCA244kYR7Prg
all,chinese food 2,friendly happy 2,also great 1,owner friendly happy food 1,pandemic started great never 1,pandemic started great 1,pandemic started 1,owner friendly happy food ordered 1,owner friendly happy 1,picked food 1,owner friendly 1,ordered take dining service quick 1,ordered take dining service 1,ordered take dining 1,ordered take 1,nothing good things say place 1,pandemic started great never dined 1,picked food delivered 1,nothing good things 1,picked food delivered usually 1,picked food delivered usually get 1,a24bmNPatJARqO1H4QnWgQ
all,great food 2,food great 2,reached hotel around 1,reminds tv show cheers lots 1,reminds tv show cheers 1,reminds tv show 1,reminds tv 1,really makes wait times 1,really makes wait 1,really makes 1,reached hotel around midnight went 1,reached hotel around midnight 1,amazing pretty 1,restaurant located 1,pub edmonton pretty unassuming necessarily 1,pub edmonton pretty unassuming 1,pub edmonton pretty 1,pub edmonton 1,promise worth trying food amazing 1,promise worth trying food 1,promise worth trying 1,Hcn6gI1MLg4tUJ9SfdUVqg
all,tandoori chicken 4,saffron rice 3,southgate food court 2,southgate food 2,food court 2,pepper filled senses 1,peppe explained nann 1,peppe explained nann breads 1,peppe explained nann breads world 1,pepper filled 1,absolutely gorgeous 1,peppe explained 1,pepper filled senses peppe explained 1,perfectly cooked 1,perfectly cooked naan 1,perfectly cooked naan absolutely 1,perfectly cooked naan absolutely gorgeous 1,pics almost 1,pepper filled senses peppe 1,peas samosas full stuffing tasty 1,place aroma 1,ErFFv3yCa9NnJ_x0hBPCtg
all,couple times already around corner 2,donair poutine 2,great service great food donair 2,poutine addict pretty 2,poutine addict 2,house great 2,donair poutine addict pretty comparable 2,donair poutine addict pretty 2,donair poutine addict 2,house great service 2,couple times already 2,house great service great 2,house great service great food 2,times already 2,times already around 2,times already around corner 2,times already around corner house 2,pretty comparable favorite place 2,great service great food 2,great service great 2,great service 2,AgN2wYfkqbHGvWN3CNdydA
all,corn dog 2,deep fried 2,actually quite 1,nicely travels well enjoy 1,nice sampling different 1,nice sampling different food 1,nice sampling different food overly 1,nicely travels 1,nicely travels well 1,nicely travels well enjoy back 1,mustard ketchup sugar add sauce 1,office pretty 1,office pretty happy 1,office pretty happy gangnam 1,office pretty happy gangnam street 1,opt items 1,nice sampling 1,mustard ketchup sugar add 1,messy spice level actually quite 1,mustard ketchup sugar 1,mustard ketchup 1,CJzVNnmSG-f8zVCBJDam8g
all,chicken waffles 2,small place 2,lamb meatballs 2,three us 2,corn fritters 2,chicken tenders 2,great place 2,table ordered 2,pot pie 1,pot pie meat 1,pot pie meat loaf burgers 1,pot pie meat loaf 1,possible menu shared appetizers 1,potatoes ended 1,potatoes ended ordering 1,potatoes ended ordering another 1,potatoes ended ordering another bucket 1,possible menu shared appetizers easy 1,able get 1,possible menu shared 1,pre theatre 1,Iw7uhUS9D5gXESPr_DVHaA
all,dim sum 13,usually order 2,place order 2,tasty noodle 2,service fast 2,ginger beef 2,peking duck 2,service food 2,great food 2,know dish 2,food delicious 2,sum try 2,food ordered 2,attentive food 2,dim sum try 2,pick takeout love coming 1,pick takeout love coming dim 1,pick takeout love 1,pick takeout 1,picture plump 1,pick offer order go pick 1,0IG9w6YCkh-z5pnfSip6Nw
all,bacon hash 1,mine gfs meal 1,meal egg breakfast came 1,meal egg breakfast came bacon 1,menu let 1,menu let simpleness 1,menu let simpleness place 1,menu let simpleness place fool 1,menu photos 1,menu photos everything 1,mine gfs 1,mine gfs meal egg 1,bacon hash toast 1,mine gfs meal egg breakfast 1,named may 1,owned restaurant 1,owned restaurant fancy 1,owned restaurant fancy great 1,owned restaurant fancy great comfort 1,owner named 1,owner named may 1,Dd_FDQPmNYWjj2NweX-3jA
