distance,index
[241.9 474.3 170.5  15.4   0.   40.8 254.7 286.  192.9 392. ],[202 251 484  32 427 494 635 565 411 289]
"[239.3 474.5 472.  443.8 269.2 368.6 427.5 350.7 447.6 352.4 310.5 286.4
 272.1 428.1   0. ]",[233 639 245 733 140  42 564 719 420 438 112 232 144 464 601]
[481.2 491.1   0.    0. ],[ 97  44 609 645]
"[246.5 381.2 119.8 427.7   0.  450.4 172.8 430.6 168.3 471.8  86.5 242.8
 135.1  61.  122.  169.2]",[694 193 731 577 513  25 588 559 603 314 281 600 717 292 203 704]
[ 0.  46.8],[252 548]
[252.3 228.  270.6 173.6  24.4   0. ],[413 422 265 543   7 399]
"[493.  383.2 404.1 317.1 287.5 200.2 262.9 369.7  92.7 270.  201.9 316.4
  70.9   0.  379.2 107.3 371.7 200.9]",[ 39 665 506 474 643  83 222  51  92 732  43 575 307 196 157 675  82  74]
"[191.3 254.4 356.7 330.4 212.1 351.7 406.5 278.3 307.8  84.2  52.7 322.1
 159.6   0.  322.9 262.5 300.4 345.  368.8 357.3 402.5 381.8 457.1 459.8
 479.2]","[250 296 350 215  14 546 537 343 406 641 435 467 101 285 426 269 344 508
 490 371 491 362 204 221 396]"
"[151.6 286.5 145.8 268.3 328.4 391.4 386.2 386.2 119.  459.1 438.7 233.6
 134.6 182.8 234.2 211.9   0.  203.  226.2  39.7 175.3 152.2 160.4 291.9
 193.3 359.9 359.9 111.4 123.8  88.9  88.9  98.  242.5 230.7 183.5 327.4
 284.  327.4 453.8 485.  486.4]","[743 611 616  19 534 632 471  72 613 610 179  85 541 267  91 240 663 138
 246 145 290 642 106 454 363 113 582 496 187 489 607 231 189 653 634 480
 394 583 211 608  28]"
[126.5   0.  184.9 188.4 156.2],[551 369  67  38  46]
[344.7 298.  492.5 150.8  23.7   0.   89.3 118.2  89.3],[656 664  47 657 530 538 268 572 434]
"[  0.  301.2 100.4 474.9 487.3 485.2  36.9 390.2 185.1 419.1 363.5 151.9
  54.4]",[680 677 591 346 693  77 105 278 625 519   0  68 419]
[  0.  248.6 279.8 440.3],[578 650 460 133]
[13.8 74.7  0.  30.4],[ 52 243 352  75]
[207.2 186.  241.5   0.  162.7 187.4],[644 574 186 301 458 273]
[492.3 422.2 269.2 254.7 214.6   0.  109.8 140.9 167.1],[202 484  32 427 494 635 565 411 289]
[  0.  345.  274.5 292.5 374.8 381.7 316.5 301.4 414.5 379.1 485.5 485.5],[170 432 218 234 225 587 683 486 316 249 697  78]
"[218.9  88.5 100.6  81.5 474.3 247.6   0.  242.9 305.   64.8 404.  233.6
 142.8 420.  197.4 128.6 347.6 360.6 182.3 126.1 243.7 243.7 184.4 197.4
 321.5 321.5 278.7 472.1 461.2 305.5 450.2 396.4 450.2]","[743 611 616  19 534 613  85 541 267  91 240 663 138 246 145 290 642 106
 454 363 113 582 496 187 489 607 231 189 653 634 480 394 583]"
[46.8  0. ],[252 548]
"[215.3 368.4 234.4 349.7 319.2 368.3 474.5 368.  368.  169.1 432.9 413.4
 321.5 187.9 212.6 316.4 184.6  88.9 270.9 194.7 128.  247.7 137.1 137.1
 356.7 265.4 420.1 420.1 173.  177.4   0.    0.   97.5 166.5 153.4 184.1
 299.7 267.5 299.7 406.3 439.7 448.8 398.6]","[743 611 616  19 534 632 468 471  72 613 610 179  85 541 267  91 240 663
 138 246 145 290 642 106 454 363 113 582 496 187 489 607 231 189 653 634
 480 394 583 211 608 525  28]"
"[ 51.5 325.4 148.  310.5 235.6 308.8 451.3 298.8 298.8   0.  376.6 356.
 247.6  19.   69.8 277.5 158.5 119.  281.6 174.6 105.2 250.3 108.1 122.4
 367.6 266.4 438.4 438.4 211.3 228.1 169.1 169.1 216.4 256.3 248.9 302.3
 445.6 403.  445.6]","[743 611 616  19 534 632 468 471  72 613 610 179  85 541 267  91 240 663
 138 246 145 290 642 106 454 363 113 582 496 187 489 607 231 189 653 634
 480 394 583]"
[167.8   0. ],[569 299]
[  0.  135.   48.4 207.2  62.7  39.2],[644 574 186 301 458 273]
[282.5 211.2  56.   40.8   0.  214.6 246.4 156.3 351.6],[202 484  32 427 494 635 565 411 289]
[474.7 426.3 342.7 304.7   0.  304.7 487.3 293.3],[316 249 359 697 504  78 741 640]
[233.1  93.7   0. ],[440 585 366]
"[350.5 405.2 377.6 449.6 425.7 370.7 281.5 119.7 166.2  55.3  68.8   0.
 307.   49.2 311.7 443.9 315.7 319.6 454.3 345.5  54.8 415.2]","[544 374  54 335 695 713 382 602 624 500 629 318 347 199 205 287 725  95
 148 169 334  57]"
"[369.1  53.1 172.8 394.5 467.2   0.    5.9 299.5  91.9  72.1 301.6 370.1
 188.   90.7  72.4]",[694 731 513 564 719 588 603 314 281 600 717 464 292 203 704]
[  0.  167.8],[569 299]
"[368.4 471.7 105.6 180.6 110.8 183.5 131.5  16.8 178.4 201.1  90.3   0.
 478.  308.7]",[159 230  73 503 540 441  60 184 604 217 212 355 447 377]
"[453.8 462.3 484.4 469.1 487.2 475.1 499.8 499.8 421.4 404.8 406.3 406.3
 357.6 468.1 458.2 443.8 439.  294.8 147.8 201.7 147.8 481.7   0.  380.3
 215.7  34.6 297.  408.1 476.4]","[663 138 145 290 454 363 113 582 496 187 489 607 231 189 653  33 174 634
 480 394 583  97 211 402 670 608 525 198  28]"
[227.9 262.  176.7   0.  358.4 357.2 269.9],[381 679  15 558 244  11 734]
